日期,收盘,开盘,高,低,交易量,涨跌幅
2018年9月5日,11.39,12.25,12.31,11.35,53.2,-8.88%
2018年8月20日,11.3,11.25,11.44,10.5,53.2,5.61%
2019年6月11日,14.92,15.51,15.63,14.54,53.1,-0.93%
2019年4月17日,16.93,17.26,17.3,16.71,53,-0.99%
2020年3月31日,23.42,22.91,24.75,22.51,52.3,2.00%
2019年2月20日,18.31,18.03,18.75,18.02,52.3,2.87%
2019年5月21日,14.77,14.87,15.04,14.64,52.2,1.30%
2019年3月20日,17.75,18.62,18.65,17.72,52.1,-4.83%
2019年4月8日,17.91,17.94,18.14,17.69,52,-0.61%
2018年8月16日,10.56,10.51,10.94,10.5,52,2.82%
2020年7月20日,42.38,42.15,42.58,40.81,51.5,1.15%
2020年2月14日,28.69,28.28,28.95,27.83,51.5,3.35%
2020年6月8日,34.96,34.7,35.68,34.4,51.4,1.33%
2019年1月31日,18.41,18.28,18.46,17.96,51,3.66%
2020年6月24日,44.03,44.76,44.89,42.57,50.7,-1.37%
2020年4月13日,26.21,27.03,27.12,25.81,50.7,-2.31%
2018年9月21日,12.43,13.45,13.67,12.36,50.7,-7.51%
2020年5月4日,26.53,26.36,27.1,26.05,50.5,5.53%
2019年1月3日,12.95,14.19,14.2,12.85,50.4,-9.31%
2020年6月23日,44.64,43.39,45.3,43.38,50.2,4.08%
2020年5月15日,30.88,30.38,31.6,30.36,50.2,-0.48%
2018年11月19日,13.03,14.4,14.42,13.02,50.2,-10.14%
2019年6月7日,14.8,14.15,15.1,14.1,50,4.45%
2020年2月20日,27.94,27.98,28.41,27,49.6,0.79%
2018年9月26日,12.87,12.49,13.42,12.45,49.2,2.55%
2018年7月23日,14.18,14.41,14.7,13.64,49.2,-1.60%
2018年12月4日,14.33,15.52,15.7,14.11,49.1,-7.07%
2020年4月17日,29,29.3,29.7,28.37,48.9,0.76%
2020年4月2日,24.42,23.98,24.58,23.24,48.8,1.50%
2019年11月1日,16.46,15.98,16.5,15.9,48.7,4.24%
2019年5月23日,14.32,14.2,14.47,13.83,48.5,-2.52%
2019年8月6日,13.95,14.26,14.54,13.88,48.4,1.01%
2018年12月6日,14.68,14.03,14.73,13.9,48.4,2.44%
2019年5月6日,17.4,17.35,17.57,17.03,48.3,-4.34%
2020年3月16日,22.16,21.11,23.16,20,48.2,-5.18%
2020年3月11日,25.67,25.45,26.71,25.16,48.1,-1.27%
2019年5月15日,15.53,15.46,15.69,15.19,48,0.91%
2019年1月8日,14.78,14.52,15.1,14.4,48,3.57%
2019年3月21日,17.71,17.77,18.06,17.55,47.3,-0.23%
2020年4月21日,28.57,29.22,29.94,27.92,47.1,-3.74%
2020年6月3日,34.15,34.4,34.4,33.32,47,-0.12%
2020年6月10日,35.48,34.08,35.78,33.95,46.9,4.75%
2019年5月13日,16.21,16.51,16.65,16.03,46.7,-5.20%
2019年3月11日,18.6,18.12,18.62,17.97,46.4,3.68%
2018年8月23日,10.53,11.21,11.35,10.43,46.1,-4.36%
2019年7月1日,16.48,16.55,16.82,16.26,46,1.29%
2018年12月24日,13.71,13.04,13.83,12.66,45.8,3.08%
2018年10月5日,13.35,13.37,13.88,12.9,45.7,-1.48%
2019年9月4日,13.77,14.32,14.32,13.7,45.6,-2.75%
2019年5月20日,14.58,15,15.1,14.43,45.3,-5.02%
2019年3月5日,19.14,18.66,19.32,18.27,45.3,1.70%
2019年4月16日,17.1,17.49,17.55,17,45.2,-0.47%
2020年7月10日,47.55,47.91,48.19,46.13,45.1,-1.41%
2019年2月26日,19.73,19.67,19.98,19.05,45.1,-2.62%
2020年1月27日,22.3,20.85,22.47,20.61,44.9,2.20%
2019年1月22日,15.93,16.16,16.19,15.75,44.9,-4.67%
2018年8月22日,11.01,11.75,11.82,10.96,44.9,-7.09%
2020年1月30日,21.26,22.08,22.24,20.78,44.8,-5.00%
2018年11月6日,14.91,14.36,15.48,14.35,44.8,3.83%
2019年6月18日,15.16,14.59,15.5,14.5,44.7,5.57%
2019年9月11日,15.21,14.98,15.28,14.8,44.3,2.29%
2020年6月1日,33.06,32.35,33.32,32.35,44.2,1.94%
2020年1月22日,22.53,22.8,23.06,22.52,44.2,-0.35%
