日期,收盘,开盘,高,低,交易量,涨跌幅
2019年10月1日,13.8,14.14,14.2,13.74,21,-2.27%
2019年12月10日,16.96,17.11,17.19,16.9,20.8,-0.18%
2018年4月12日,11.62,11.53,11.76,11.35,20.8,1.22%
2019年7月25日,15.7,15.87,15.99,15.5,20.6,-0.63%
2019年2月5日,18.21,17.76,18.43,17.66,20.6,2.88%
2018年10月29日,12.47,13.45,13.55,12.26,20.4,-5.32%
2019年11月25日,16.81,16.5,16.94,16.36,20.3,1.33%
2019年7月19日,15.54,15.66,15.8,15.43,20.3,0.06%
2018年12月11日,15.05,15.02,15.33,14.81,20.3,2.31%
2019年11月11日,16.77,16.35,16.89,16.3,20.2,1.15%
2019年8月14日,13.81,13.7,13.96,13.55,20.1,-1.43%
2019年7月10日,16.59,16.7,16.83,16.48,20.1,-0.06%
2018年11月7日,15.15,15.39,15.44,14.81,20.1,1.61%
2019年12月20日,17.94,18.09,18.5,17.91,20,-0.55%
2019年7月18日,15.53,15.5,15.62,15.06,20,-0.32%
2019年12月16日,17.96,18.05,18.08,17.78,19.8,0.34%
2018年6月7日,16.22,16.56,16.79,16.05,19.8,-2.11%
2019年11月5日,16.42,16.78,16.78,16.38,19.7,-2.15%
2018年5月14日,12.07,11.55,12.2,11.5,19.5,5.32%
2019年11月13日,16.77,16.58,17,16.58,19.3,0.54%
2019年10月2日,13.8,13.69,13.93,13.61,19.2,0.00%
2018年10月19日,12.49,12.94,13.07,12.37,19.2,-0.95%
2019年9月18日,15.21,15.24,15.35,14.96,19.1,-0.20%
2019年7月24日,15.8,15.84,15.95,15.72,19.1,0.57%
2019年6月26日,15.97,15.9,16.23,15.9,19.1,2.11%
2019年3月25日,17.59,17.11,17.81,17.05,19,2.21%
2019年1月2日,14.28,14,14.63,13.98,19,-2.12%
2019年12月23日,18.42,18,18.5,17.96,18.6,2.68%
2019年6月28日,16.27,15.89,16.28,15.82,18.5,1.06%
2018年10月23日,12.97,12.67,13.17,12.57,18.4,-0.61%
2018年8月9日,11.25,11.4,11.58,11.22,18.4,-1.23%
2019年9月26日,15.02,14.94,15.13,14.81,18.2,0.87%
2019年12月4日,16.42,16.8,16.89,16.35,18.1,-1.56%
2018年8月8日,11.39,11.49,11.68,11.24,18.1,-0.09%
2019年9月19日,15.1,15.24,15.43,15.1,17.9,-0.72%
2019年12月27日,18.24,18.31,18.4,18.1,17.5,-0.55%
2019年12月12日,17.74,17.48,17.83,17.4,17.5,1.14%
2019年10月25日,15.52,15.1,15.61,15.1,17.5,1.70%
2019年7月26日,15.96,15.76,16.2,15.75,17.5,1.66%
2019年9月17日,15.24,14.91,15.3,14.83,17.2,1.60%
2018年11月14日,13.56,13.87,14.14,13.54,17.1,-1.53%
2018年11月5日,14.36,14.4,14.78,14.25,17.1,-0.49%
2019年8月20日,14.31,14.42,14.58,14.21,17,-1.31%
2019年2月8日,17.46,16.99,17.65,16.43,17,1.63%
2019年12月6日,17.17,17.06,17.24,17.02,16.9,1.30%
2019年9月13日,15.06,15.2,15.28,14.94,16.9,-0.53%
2019年8月12日,13.84,13.75,14.01,13.7,16.9,-0.50%
2019年11月14日,16.33,16.8,16.81,16.2,16.6,-2.62%
2018年5月10日,11,10.73,11.68,10.51,16.5,3.29%
2019年3月14日,18.5,18.3,18.6,18.18,16.4,1.65%
2019年9月9日,14.34,14.48,14.52,14.24,16,-0.83%
2019年10月3日,14.22,13.85,14.23,13.64,15.8,3.04%
2019年9月23日,15.1,15.24,15.33,14.97,15.6,-1.05%
2019年12月11日,17.54,17.1,17.61,16.99,15.5,3.42%
2019年7月29日,16.13,16,16.15,15.77,15.4,1.07%
2019年5月30日,13.89,13.93,14.05,13.82,15.3,0.80%
2018年5月15日,12.16,12.07,12.42,11.52,15.3,0.75%
2018年4月25日,10.9,11.19,11.29,10.82,15.3,-3.45%
2018年4月11日,11.48,11.58,11.59,11.03,15,-0.17%
2018年4月4日,10.97,10.75,11.08,10.55,15,0.55%
2019年7月15日,16.45,16.58,16.66,16.41,14.9,0.30%
2019年10月29日,15.57,15.6,15.7,15.43,14.7,-0.95%
2019年6月12日,14.69,14.56,14.78,14.41,14.7,-1.54%
2019年6月17日,14.36,14.2,14.58,14.19,14.6,0.63%
2019年10月10日,14.01,13.81,14.08,13.79,14.5,1.60%
2019年11月6日,16.44,16.42,16.5,16.29,14.4,0.12%
2019年9月30日,14.12,14.47,14.55,14.07,14.4,-1.47%
2019年8月21日,14.41,14.5,14.54,14.32,14.3,0.70%
2019年10月21日,14.86,14.5,14.89,14.47,14,3.12%
2019年7月12日,16.4,16.6,16.75,16.32,14,-0.43%
2019年7月9日,16.6,16.3,16.66,16.18,13.9,0.24%
2019年12月26日,18.34,18.45,18.47,18.24,13.8,-0.54%
2019年10月9日,13.79,13.78,13.82,13.53,13.7,2.60%
2019年10月16日,14.56,14.45,14.56,14.1,13.6,0.34%
2019年10月4日,13.92,14.17,14.25,13.85,13.5,-2.11%
2019年10月18日,14.41,14.3,14.55,14.25,13.4,0.42%
2019年7月16日,16.07,16.5,16.55,16.05,13.3,-2.31%
2019年11月29日,17.28,16.85,17.3,16.44,13.2,1.65%
2018年4月24日,11.29,11.25,11.52,11.21,12.2,0.89%
2019年7月3日,16.63,16.6,16.66,16.3,11.9,0.12%
2019年10月23日,14.42,14.55,14.7,14.34,11.5,-0.96%
2019年7月11日,16.47,16.65,16.7,16.33,11.5,-0.72%
2019年11月26日,16.8,16.84,16.99,16.62,11.4,-0.06%
2018年4月30日,10.92,10.7,11.08,10.1,10.9,2.92%
2019年7月8日,16.56,16.5,16.61,16.4,10.8,-1.08%
2018年5月9日,10.65,10.41,10.73,10.28,10.4,3.70%
2019年8月15日,14.01,13.92,14.13,13.9,10.3,1.45%
